No,抽選日,数字１,数字２,数字３,数字４,数字５,数字６,数字７,数字Ｂ１,数字Ｂ２,１等口数,２等口数,３等口数,４等口数,５等口数,６等口数,１等金額,２等金額,３等金額,４等金額,５等金額,６等金額,キャリーオーバー,販売実績
86,2014/11/28,03,10,20,21,22,26,30,24,35,1,16,153,7353,120914,205807,800000000,8694200,1272800,15500,2300,1200,1416245085,3068898900
87,2014/12/05,08,09,12,18,20,28,31,13,15,0,13,138,7821,127559,223589,0,9776900,1289400,13300,2000,1000,1790275855,2803986600
88,2014/12/12,03,04,10,14,25,29,30,18,19,0,11,177,8800,136071,235427,0,12013600,1045200,12300,1900,1000,2147483647,2915395500
89,2014/12/19,01,03,11,26,28,34,36,17,20,0,12,159,8388,138336,224541,0,11582900,1223800,13600,2000,1100,2147483647,3066412500
90,2014/12/26,02,08,09,13,14,18,37,11,25,1,15,153,8377,142874,267154,800000000,10036600,1377500,14700,2100,1000,2147483647,3321297600
91,2015/01/09,01,05,07,14,15,25,35,18,24,0,18,315,11332,162096,260376,0,8186000,654800,10600,1800,1000,2147483647,3250678800
92,2015/01/16,04,05,15,25,26,29,32,11,27,1,9,162,7853,133466,245160,800000000,15195400,1181800,14300,2000,1000,2147483647,3017073600
93,2015/01/23,02,05,11,14,17,30,32,31,37,2,10,139,7146,117498,196034,800000000,12969400,1306200,14900,2200,1200,1052449145,2861212200
94,2015/01/30,13,19,20,27,28,29,30,26,36,2,8,120,6192,104231,181697,705794000,15220500,1420500,16100,2300,1200,0,2686270800
95,2015/02/06,01,08,13,14,18,30,34,26,36,0,5,89,4775,79565,146366,0,18009000,1416400,15400,2200,1100,268239710,1986499800
96,2015/02/13,09,11,14,21,22,23,24,10,36,0,15,130,6426,103877,180889,0,6898400,1114300,13200,2000,1000,573705620,2282815800
97,2015/02/20,07,13,14,16,22,24,35,01,29,1,16,129,6927,111308,178510,800000000,6932900,1203800,13100,2000,1100,99001930,2447185800
98,2015/02/27,03,09,11,13,19,25,33,10,30,0,18,189,7746,109792,172961,0,5366700,715500,10200,1700,1000,387567960,2131139400
99,2015/03/06,13,17,22,24,27,28,35,11,19,1,11,131,6826,105445,176597,699064600,9328000,1096500,12300,1900,1000,0,2263663200
100,2015/03/13,01,02,11,16,25,35,36,09,14,0,6,76,4479,78016,152645,0,14043600,1552100,15400,2100,1000,248837600,1858920000
101,2015/03/20,11,12,21,23,28,36,37,03,16,0,9,147,5973,97792,177936,0,10648500,912700,13100,1900,900,546062785,2114271300
102,2015/03/27,01,04,08,27,28,29,31,13,25,3,14,155,7215,117503,200661,295337700,7795200,985700,12400,1800,900,0,2407628700
103,2015/04/03,02,03,11,12,22,35,36,30,34,0,3,134,5989,91551,133012,0,27272900,854800,11200,1800,1100,237715660,1805020800
104,2015/04/10,07,09,11,15,16,22,37,12,13,1,7,129,6241,98767,168004,523951100,13662100,1037800,12500,1900,1000,0,2109822600
105,2015/04/17,03,15,19,20,26,28,33,17,21,1,12,116,5412,85105,137748,248384000,6977900,1010500,12700,1900,1100,0,1847314500
106,2015/04/24,06,10,12,19,21,22,30,01,11,0,10,105,4888,78353,144248,0,8217800,1095600,13800,2100,1000,242369330,1812953400
107,2015/05/01,03,08,09,13,17,27,33,29,31,0,15,165,7623,112363,182521,0,6523000,830100,10500,1700,900,543591915,2158581300
108,2015/05/08,02,06,07,08,28,30,36,18,21,0,15,164,7155,111653,180825,0,6899600,883400,11800,1800,1000,856434470,2283207900
109,2015/05/15,06,17,20,21,24,30,32,07,23,0,7,116,5373,90074,168077,0,16296700,1376700,17400,2500,1200,1194796700,2516675400
